Seas Type,Zone,Unit Name,Season/Tag/Hunt,Total Hunters,Does,Total Bucks,Spikes,Forks,3 Points,4 Point +,Harvest Total,Success (%)
General,Southwest,Dixon,W General Deer w/ Controlled Rifle Tag,76,0,25,0,13,9,3,25,33
General,Southwest,Evans Creek,W General Deer,1823,5,580,4,236,218,122,585,32
General,Southwest,Evans Creek,W General Deer w/ Controlled Rifle Tag,19,0,11,0,5,2,4,11,58
General,Southwest,Indigo,W General Deer,1957,17,409,4,181,136,88,426,22
General,Southwest,Indigo,W General Deer w/ Controlled Rifle Tag,64,1,9,0,3,2,4,10,16
General,Southwest,Melrose,W General Deer,3342,29,1112,13,456,389,254,1141,34
General,Southwest,Melrose,W General Deer w/ Controlled Rifle Tag,48,0,13,0,2,4,7,13,27
General,Southwest,Powers,W General Deer,1743,0,619,4,246,204,165,619,36
General,Southwest,Powers,W General Deer w/ Controlled Rifle Tag,26,0,11,0,4,4,3,11,42
General,Southwest,Rogue,W General Deer,6633,0,1272,4,422,505,341,1272,19
General,Southwest,Rogue,W General Deer w/ Controlled Rifle Tag,129,0,31,1,7,17,6,31,24
General,Southwest,Sixes,W General Deer,1237,2,517,6,238,176,97,519,42
General,Southwest,Sixes,W General Deer w/ Controlled Rifle Tag,5,0,3,0,1,2,0,3,60
General,Southwest,Tioga,W General Deer,3456,2,1062,1,460,366,235,1064,31
General,Southwest,Tioga,W General Deer w/ Controlled Rifle Tag,29,0,15,0,3,5,7,15,52
